X,Y,OBJECTID,NAME,WEB_URL,RELIGION,ADDRESS,XCOORD,YCOORD,PLACE_OF_WORSHIP,Is_Place_Of_Worship,GIS_ID,ADDRID
-77.025736345062455,38.912827245028218,69,WAY BACK TO PENTECOST CHURCH,THEWAYBACKTOPENTECOST.ORG,CHRISTIAN,945 R ST NW,397768.13,138328.68,CHURCHES,1,,
-77.003205725230615,38.897143251627696,70,NATIONAL COMMUNITY CHURCH,NCCPRODUCTION.COM,CHRISTIAN,205 F ST NE,399722.11,136587.32,CHURCHES,1,,
-77.009575721104596,38.904018623432385,71,MT AIRY BAPTIST CHURCH,MOUNTAIRYBAPTIST.ORG,CHRISTIAN,1100 N CAPITOL ST NW,399169.61,137350.58,CHURCHES,1,,
-76.987278019507571,38.898164602076804,72,PURITY BAPTIST CHURCH,PURITYBAPTISTDC.ORG,CHRISTIAN,1325 MARYLAND AVE NE,401103.78,136700.77,CHURCHES,1,,
-76.989019053130079,38.90731492611355,73,NEW LIFE BAPTIST CHR ALEXANDER,,CHRISTIAN,1501 W VIRGINIA AVE NE,400952.63,137716.51,CHURCHES,1,,
-76.991519976077967,38.903684138149153,74,NEW SAMARITAN BAPTIST CHURCH,NEWSAMARITAN.ORG,CHRISTIAN,1100 FLORIDA AVE NE,400735.75,137313.44,CHURCHES,1,,
-77.009413650053773,38.912938160863256,75,METROPOLITAN WESLEY AME ZION,METROPOLITANWESLEY.ORG,CHRISTIAN,1712 N CAPITOL ST NW,399183.77,138340.72,CHURCHES,1,,
-76.990017785979006,38.901131231430988,76,SACRED HEART OF JESUS INTL,,CHRISTIAN,1201 I ST NE,400866.08,137030.06,CHURCHES,1,,
-77.009489517617922,38.905127558713772,77,SAFE HAVEN OUTREACH MINISTRY,SAFEHAVENOUTREACHMINISTRY.ORG,CHRISTIAN,1140 N CAPITOL ST NW # 924,399177.1,137473.68,CHURCHES,1,,
-76.984667712428219,38.911784647179282,78,GATEWAY TO HEAVEN PENTACOSTAL,,CHRISTIAN,1910 W VIRGINIA AVE NE,401329.96,138212.74,CHURCHES,1,,
