"NAME","WEB_URL","ADDRESS","manual_lookup"
"GREAT MT CALVARY HOLY CHURCH","GMCNATION.ORG","610 RHODE ISLAND AVE NE",
"HIS CHURCH",,"2000 STANTON TER SE",
"HIGHER PRAISE MINISTRIES",,"4625 GAULT PL NE",
"HOLY TRUTH-GOD IN CHRIST JESUS",,"514 58TH ST NE",
"DEEPER LIFE BIBLE CHURCH","DEEPERLIFEDC.ORG","4915 SARGENT RD NE",
"CHRISTIAN PRAISE CHURCH",,"3628 ALABAMA AVE SE",
"CHURCH IN THE LORD JESUS",,"1524 GOOD HOPE RD SE",
"CHURCH OF JESUS CHRIST","COJC.ORG","3456 PENNSYLVANIA AVE SE",
"BETHUEL TEMPLE CHURCH","BETHUELTEMPLE.COM","2406 MARTIN LUTHER KING JR AVE",
"SOUL SAVING CTR OF CHRIST","SSCOCINC.ORG","909 43RD PL NE",
"INDEPENDENT CHURCH OF GOD",,"2302 AINGER PL SE",
"GREATER DELIVERANCE CHR OF GOD","GREATERDELIVERANCECOGIC.ORG","441 CHAPLIN ST SE",
"ST LUKE PARISH","STLUKECHURCHSSJ.ORG","4925 E CAPITOL ST SE",
"ST MICHAELS CHR-GOD-CHRIST",,"313 57TH ST NE","CHURCH OF GOD – CONGREGATIONALIST"
"TEMPLE OF THE LIVING EPOSTLE",,"4821 MEADE ST NE",
"BETHLEHEM CHURCH-GOD HOLINESS",,"5898 EASTERN AVE NE",
"OUR LADY OF LEBANON","MARONITESEMINARY.ORG","7164 ALASKA AVE NW",
"OVERCOMING FAITH MINISTRIES",,"6401 CHILLUM PL NW",
"TEMPLE SINAI","TEMPLESINAIDC.ORG","3100 MILITARY RD NW",
"NORTHWEST COMMUNITY CHURCH",,"4100 16TH ST NW",
"BROTHERHOOD OF THE CROSS-STAR","OOO-BCSUSA.ORG/WASHINGTON-DC-BETHEL","916 RITTENHOUSE ST NW",
"CAPITAL WESLEYAN CHURCH","WESLEYAN.ORG","3831 14TH ST NW",
"PLYMOUTH CONGREGATIONAL CHURCH","PLYMOUTH-UCC.ORG","5301 N CAPITOL ST NE",
"MT CALVARY HOLY CHURCH","MTCALVARYHOLY.ORG","5900 CHILLUM PL NE",
"BUDDHIST CONGREGATIONAL CHURCH","www.GIACHOANGTEMPLE.COM","5401 16TH ST NW",
"VICTORY CHURCH OF JESUS CHRIST","VICTORYONTHEHILL.COM","4210 2ND ST NW",
"CELESTIAL CHURCH OF CHRIST","CCCUSADIOCESE.ORG","6200 CHILLUM PL NW",
"CHURCH OF THE ANNUNCIATION","<Null>","3125 39TH ST NW",
"CALVARY LIFE CTR",,"304 KENNEDY ST NW",
"BETHEL CAPITOL CHURCH","BETHELCAPITOLCHURCH.ORG","6130 N CAPITOL ST NW",
"CITIZEN HEIGHTS CHURCH","CITIZENHEIGHTS.COM","4100 RIVER RD NW",
"RESTORATION CHURCH","RESTORATIONCHURCHDC.COM","3950 CHESAPEAKE ST NW",
"FOURTH CHURCH CHRIST SCIENTIST","CHRISTIANSCIENCEDC.ORG","5510 16TH ST NW",
"FROM THE HEART CHR MINISTRIES",,"24 KENNEDY ST NW",
"CLEVELAND PARK CONGREGATIONAL","CPCCHURCH.ORG","3400 LOWELL ST NW",
"SEEKERS CHURCH","SEEKERSCHURCH.ORG","276 CARROLL ST NW",
"CHURCH OF CHRIST","COC16TH.ORG","4801 16TH ST NW",
"CHURCH OF THE NATIVITY","NATIVITYCHURCH.NET","6001 13TH ST NW",
"CHURCH-THE NATIVITY-OUR LORD",,"6000 GEORGIA AVE NW",
