STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT11,WT03
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091116,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091117,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091118,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091119,-9999,-9999,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091120,-9999,-9999,0.79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091123,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091124,-9999,-9999,0.80,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091130,-9999,-9999,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091201,-9999,-9999,0.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091202,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091203,-9999,-9999,0.74,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091204,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091207,-9999,-9999,0.74,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091208,-9999,-9999,1.74,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091210,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091211,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091214,-9999,-9999,0.52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100105,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100106,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100107,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100111,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100119,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100120,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100121,-9999,-9999,0.73,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100201,-9999,-9999,0.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100202,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100203,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100204,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100217,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
