OBJECTID,CJRTRACTBLOCK,CNT_CJRTRACTBLOCK,SHAPE_Length,SHAPE_Area
3135,4100 3001,1,442.29236,11060.236049
3136,4100 3000,1,246.442466,2740.398849
3137,5500 1000,1,136.950836,760.16207
3138,4400 2018,1,515.707929,14439.13755
3139,4300 2006,1,504.6614,14018.883986
3140,4300 2005,1,612.659768,18427.805553
3141,4400 1007,1,503.550377,15828.653992
3142,4300 1003,1,503.383173,15260.780795
3143,4400 1008,1,419.534895,10828.973833
3144,4400 1006,1,642.139245,24021.520054
3145,4300 1001,2,687.433452,27027.924592
3146,3800 2004,1,641.421229,23264.194743
3147,3500 2004,1,788.049767,25190.75161
3148,6202 1105,9,1379.325468,99427.138175
3149,5600 2016,4,490.063626,13820.926387
3150,6202 1106,6,935.057973,11585.914316
3151,5600 2017,3,953.388367,45874.035839
3152,5600 1006,1,220.17347,1993.847323
3153,5500 3013,1,567.986568,19265.562318
3154,5500 2005,2,1733.296585,97299.21452
3155,4100 3003,1,507.502493,14110.734374
3156,4202 1002,1,471.256771,12650.70399
3157,4100 1017,1,515.473279,14295.313477
3158,4202 1007,1,383.708197,8187.780543
3159,4202 1006,1,548.136838,18881.046021
3160,4100 3008,1,693.584702,24627.043368
3161,4100 3004,1,514.257159,14299.529094
3162,4100 1015,1,569.393241,15413.276711
3163,4002 2003,2,612.498252,18047.015072
3164,4100 1016,2,772.035224,36071.420675
3165,4100 3005,1,496.366734,13499.589078
3166,4100 1014,1,623.501675,21820.94606
3167,4002 2004,1,526.956879,13552.42272
3168,4100 1006,1,503.348926,13727.779556
3169,4100 1007,1,578.185702,16425.497754
3170,4100 1013,1,911.319449,39057.767712
3171,4002 2005,1,611.410581,19401.171793
3172,4100 1002,1,567.819604,17200.745246
3173,4100 1003,1,522.466513,16856.000706
3174,4100 1010,1,457.020107,12145.676733
3175,4001 2002,3,620.529962,15752.492693
3176,4001 2003,1,141.237977,884.523041
3177,4100 1011,1,596.521118,21614.784197
3178,4002 2002,1,951.799911,50745.09209
3179,4002 2006,1,690.0033,24707.235734
3180,4100 1012,1,206.191421,2144.610076
3181,4100 1001,1,834.45914,23903.420638
3182,4100 1005,1,348.074651,9588.776703
3183,4001 2001,1,539.867524,16482.092687
3184,4100 1004,2,1067.941539,42521.153777
3185,4001 2000,1,413.127696,10742.79059
3186,4002 2001,1,184.378931,1130.549285
3187,4100 3019,1,307.059249,2062.599307
3188,100 2004,1,1064.899972,43579.006263
3189,4100 3017,2,485.950615,12120.374294
3190,4100 3022,2,258.082213,1919.371921
3191,4100 3018,2,525.752991,14674.733741
3192,4100 3020,3,474.782015,9077.87385
3193,2801 1000,1,417.021029,10514.203115
3194,2502 2003,1,238.712251,2340.733508
3195,2502 2004,1,553.11255,14218.876835
3196,2502 2005,1,786.403981,38381.864313
3197,2502 2008,1,473.692961,12604.399953
3198,2502 3008,1,712.784486,25991.63759
3199,2400 5006,1,414.898376,7311.384622
3200,2400 5005,1,408.290748,7177.76188
3202,2400 5004,1,93.002331,268.749154
3203,2400 2014,1,483.784543,13410.746274
3205,2600 2019,1,621.663281,17726.841186
3206,4001 1004,1,186.9696,1585.668858
3207,4001 3004,1,601.955958,19104.611277
3208,4001 3006,1,599.287344,16560.161001
3209,4002 1001,1,616.953325,20393.351535
3210,4001 3005,1,525.921335,16602.632526
3211,3800 1002,1,369.753782,7464.605198
3212,3900 2005,1,579.370111,14997.106737
3213,3600 1002,1,667.367806,24621.50584
3214,3600 1003,1,683.514986,25573.791478
3215,3500 1004,1,448.040697,12553.248304
3217,3900 2006,1,258.675074,3295.232189
3218,3900 1004,1,594.279865,20745.664088
3219,3500 1003,1,742.019135,28609.348364
