X,Y,OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQMILES,ORIG_FID
-77.071151446920638,38.927338211966152,35,0004001,1002,110010004001002,110010004001002,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55399918,0.00086562,23
-77.071504474783652,38.926776125159776,36,0004001,1003,110010004001003,110010004001003,12311,0,21,21,21,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,10,9,1,3.04185073,0.00475289,24
-77.072601083246312,38.926862366939588,37,0004001,1004,110010004001004,110010004001004,15288,0,31,31,31,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,13,11,2,3.77737157,0.00590214,25
-77.072729255985479,38.927915379315365,38,0004001,1005,110010004001005,110010004001005,7521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85831292,0.00290361,26
-77.066947391584392,38.926860597036857,39,0004001,1006,110010004001006,110010004001006,14559,0,49,49,49,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,16,15,1,3.5971878,0.00562061,27
-77.068073554893417,38.926861986296224,40,0004001,1007,110010004001007,110010004001007,14568,0,38,37,36,1,0,0,0,0,0,0,1,0,1,35,1,0,0,0,0,0,0,1,0,29,27,1,0,0,0,0,0,0,1,0,1,26,1,0,0,0,0,0,0,1,0,16,14,2,3.59949933,0.00562422,28
-77.0696438471645,38.92692381243873,41,0004001,1008,110010004001008,110010004001008,25290,0,41,41,34,7,0,0,0,0,0,0,0,0,3,31,7,0,0,0,0,0,0,0,0,31,26,5,0,0,0,0,0,0,0,0,3,23,5,0,0,0,0,0,0,0,0,12,12,0,6.24875111,0.00976367,29
-77.070539890492242,38.926444522280391,42,0004001,1009,110010004001009,110010004001009,3809,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.94105923,0.00147041,30
-77.069041380168684,38.925897969769693,43,0004001,1010,110010004001010,110010004001010,5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26119725,0.00197062,31
-77.069186836087084,38.925207223675585,44,0004001,1011,110010004001011,110010004001011,14755,0,14,14,13,0,0,1,0,0,0,0,0,0,2,11,0,0,1,0,0,0,0,0,0,13,12,0,0,1,0,0,0,0,0,0,2,10,0,0,1,0,0,0,0,0,0,8,6,2,3.64576498,0.00569651,32
-77.070378171799533,38.925449624356709,45,0004001,1012,110010004001012,110010004001012,14563,0,41,41,37,0,0,1,0,3,0,0,0,0,5,32,0,0,1,0,3,0,0,0,0,34,30,0,0,1,0,3,0,0,0,0,3,27,0,0,1,0,3,0,0,0,0,15,15,0,3.5983575,0.00562243,33
-77.071451502428388,38.925448426906826,46,0004001,1013,110010004001013,110010004001013,16109,0,57,56,54,0,0,2,0,0,0,0,1,1,6,48,0,0,2,0,0,0,0,1,1,39,36,0,0,2,0,0,0,0,1,1,1,35,0,0,2,0,0,0,0,1,1,18,17,1,3.98021517,0.00621909,34
-77.072603431959109,38.925447671882232,47,0004001,1014,110010004001014,110010004001014,16775,0,48,48,42,0,0,6,0,0,0,0,0,0,2,40,0,0,6,0,0,0,0,0,0,44,38,0,0,6,0,0,0,0,0,0,2,36,0,0,6,0,0,0,0,0,0,16,15,1,4.14485043,0.00647633,35
-77.072603322090359,38.924168900629837,48,0004001,1015,110010004001015,110010004001015,12160,0,43,42,42,0,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,1,0,33,32,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,1,0,12,12,0,3.00480939,0.00469501,36
-77.071450943287303,38.924168940342305,49,0004001,1016,110010004001016,110010004001016,11679,0,33,33,32,1,0,0,0,0,0,0,0,0,5,27,1,0,0,0,0,0,0,0,0,26,25,1,0,0,0,0,0,0,0,0,4,21,1,0,0,0,0,0,0,0,0,12,12,0,2.88574444,0.00450898,37
-77.069451736313496,38.924247722460507,50,0004001,1017,110010004001017,110010004001017,27695,0,43,43,40,0,0,3,0,0,0,0,0,0,2,38,0,0,3,0,0,0,0,0,0,34,31,0,0,3,0,0,0,0,0,0,2,29,0,0,3,0,0,0,0,0,0,17,16,1,6.84293301,0.01069208,38
-77.068020141495197,38.925529417243887,51,0004001,1018,110010004001018,110010004001018,13898,0,19,19,13,0,0,6,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,13,7,0,0,6,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,5,5,0,3.43383968,0.00536537,39
-77.066939084202957,38.925293919310775,52,0004001,1019,110010004001019,110010004001019,19429,0,30,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,13,13,0,4.80051365,0.0075008,40
-77.072005484619794,38.923102397801038,53,0004001,1020,110010004001020,110010004001020,23176,0,111,110,88,11,1,6,0,4,0,0,1,0,10,80,11,0,6,0,3,0,0,1,0,96,78,8,1,6,0,3,0,0,0,0,10,70,8,0,6,0,2,0,0,0,0,57,53,4,5.72633098,0.00894739,41
-77.070406203146192,38.92319239481337,54,0004001,1021,110010004001021,110010004001021,9028,0,28,28,28,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,15,14,1,2.23073227,0.00348552,42
-77.073101340801244,38.922690708630995,55,0004001,1022,110010004001022,110010004001022,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16041084,0.00025064,43
-77.063986992412666,38.927174307514612,56,0004002,2000,110010004002000,110010004002000,10539,0,17,17,15,0,0,2,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,12,10,0,0,2,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,6,6,0,2.60401334,0.00406877,44
-77.064957300131027,38.926079450112766,57,0004002,2001,110010004002001,110010004002001,53570,0,39,39,36,0,0,1,0,2,0,0,0,0,4,34,0,0,1,0,0,0,0,0,0,31,28,0,0,1,0,2,0,0,0,0,4,26,0,0,1,0,0,0,0,0,0,14,14,0,13.23622582,0.0206816,45
-77.062785851839678,38.926452797039715,58,0004002,2002,110010004002002,110010004002002,17184,0,19,19,17,0,0,2,0,0,0,0,0,0,3,14,0,0,2,0,0,0,0,0,0,18,16,0,0,2,0,0,0,0,0,0,2,14,0,0,2,0,0,0,0,0,0,5,5,0,4.24593175,0.00663427,46
-77.061826977288263,38.925513729281995,59,0004002,2003,110010004002003,110010004002003,17709,0,21,19,17,0,1,1,0,0,0,0,2,0,0,17,0,1,1,0,0,0,0,2,0,16,14,0,1,1,0,0,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,10,9,1,4.37543362,0.00683662,47
-77.062495273555058,38.924115228253342,60,0004002,2004,110010004002004,110010004002004,55987,0,53,49,45,0,0,3,0,1,1,0,2,0,9,38,0,0,3,0,0,1,0,2,0,41,36,0,0,3,0,0,1,0,0,0,8,29,0,0,3,0,0,1,0,0,0,22,21,1,13.83343485,0.02161474,48
-77.061020769703248,38.923729560015332,61,0004002,2005,110010004002005,110010004002005,20654,0,35,32,31,1,0,0,0,0,1,0,0,0,2,31,1,0,0,0,0,1,0,0,0,25,23,1,0,0,0,0,1,0,0,0,0,23,1,0,0,0,0,1,0,0,0,13,12,1,5.10320704,0.00797376,49
-77.060491855849634,38.924712574849785,62,0004002,2006,110010004002006,110010004002006,17584,0,37,37,36,0,0,1,0,0,0,0,0,0,0,36,0,0,1,0,0,0,0,0,0,33,32,0,0,1,0,0,0,0,0,0,0,32,0,0,1,0,0,0,0,0,0,11,10,1,4.34469533,0.00678859,50
-77.059042237761318,38.92346971956875,63,0004002,2007,110010004002007,110010004002007,23403,0,32,30,29,0,0,1,0,0,2,0,0,0,11,20,0,0,1,0,0,0,0,0,0,25,23,0,0,1,0,0,1,0,0,0,8,16,0,0,1,0,0,0,0,0,0,11,11,0,5.7824017,0.009035,51
-77.059523277559578,38.92238702400455,64,0004002,2008,110010004002008,110010004002008,23788,0,40,40,40,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,12,12,0,5.87762835,0.00918379,52
-77.062223611273183,38.922054442005049,65,0004002,2009,110010004002009,110010004002009,133259,69,5,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,1,32.94290321,0.05147329,53
-77.064905680729183,38.922794505664932,66,0004002,2010,110010004002010,110010004002010,46767,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,12.56544348,0.01963351,54
-77.058897999551206,38.919163756802355,67,0004002,2011,110010004002011,110010004002011,16312,0,19,19,11,0,0,8,0,0,0,0,0,0,1,10,0,0,8,0,0,0,0,0,0,15,7,0,0,8,0,0,0,0,0,0,1,6,0,0,8,0,0,0,0,0,0,6,5,1,4.03041968,0.00629753,55
-77.058032472427826,38.919963059825029,68,0004002,2012,110010004002012,110010004002012,22366,0,26,22,8,0,0,14,0,0,0,0,0,0,2,6,0,0,14,0,0,0,0,0,0,19,8,0,0,11,0,0,0,0,0,0,2,6,0,0,11,0,0,0,0,0,0,8,5,0,5.52618642,0.00863467,56
-77.057616763489506,38.920424679466414,69,0004002,2013,110010004002013,110010004002013,5265,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1.30096708,0.00203276,57
-77.05837012245027,38.92099655906231,70,0004002,2014,110010004002014,110010004002014,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7348964,0.00114828,58
-77.059000234348076,38.921425746713659,71,0004002,2015,110010004002015,110010004002015,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29803065,0.00046567,59
-77.062307692320786,38.919397635104488,72,0004002,2016,110010004002016,110010004002016,78355,0,12,12,9,3,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,7,5,2,19.02091663,0.02972018,60
-77.064996178170929,38.920275474849127,73,0004002,2017,110010004002017,110010004002017,45474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88939385,0.01857718,61
-77.065771266268968,38.920900572758562,74,0004002,2018,110010004002018,110010004002018,11089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57906112,0.00246728,62
