OBJECTID,TRACTS70_,TRACTS70_I,TRACTNO,WEB_URL,NAME,SHAPE_Length,SHAPE_Area
41,42,0,7,http://planning.dc.gov,7,4142.758093,874633.547174
42,43,0,27.2,http://planning.dc.gov,27.2,3409.170108,488106.431598
43,44,0,5,http://planning.dc.gov,5,6341.17208,1504365.290988
44,45,0,4,http://planning.dc.gov,4,5831.924895,1605148.743374
45,46,0,30,http://planning.dc.gov,30,1853.635003,209651.900304
46,47,0,90,http://planning.dc.gov,90,8457.35563,3342207.068819
47,48,0,34,http://planning.dc.gov,34,4827.044879,1081269.614077
48,49,0,39,http://planning.dc.gov,39,3298.868617,399242.095561
49,50,0,91.2,http://planning.dc.gov,91.2,6340.752557,1799872.585626
50,51,0,35,http://planning.dc.gov,35,2982.447283,381840.813382
51,52,0,36,http://planning.dc.gov,36,2298.631227,305501.317101
52,53,0,37,http://planning.dc.gov,37,2319.096608,292956.07381
53,54,0,33.1,http://planning.dc.gov,33.1,3304.040977,439619.629199
54,55,0,38,http://planning.dc.gov,38,2708.281181,355807.824496
55,56,0,40,http://planning.dc.gov,40,2854.264227,469367.175926
56,57,0,3,http://planning.dc.gov,3,4041.174234,1052327.126179
57,58,0,87,http://planning.dc.gov,87,4128.352346,890398.970506
58,59,0,41,http://planning.dc.gov,41,3787.907059,800703.914413
59,60,0,45,http://planning.dc.gov,45,2162.464062,218785.871015
60,61,0,44,http://planning.dc.gov,44,2263.778459,302918.224643
61,62,0,43,http://planning.dc.gov,43,2045.426693,236627.02819
62,63,0,42.1,http://planning.dc.gov,42.1,1842.819852,204500.393808
63,64,0,1,http://planning.dc.gov,1,9084.966185,2506882.341755
64,65,0,78.1,http://planning.dc.gov,78.1,7835.627498,3439098.707751
65,66,0,2,http://planning.dc.gov,2,6206.035159,1791135.971258
66,67,0,88.1,http://planning.dc.gov,88.1,6452.17705,1942682.057801
67,68,0,89.1,http://planning.dc.gov,89.1,8742.524188,2370391.964021
68,69,0,33.2,http://planning.dc.gov,33.2,1890.913999,198610.530867
69,70,0,42.2,http://planning.dc.gov,42.2,2102.832762,208397.346584
70,71,0,48.1,http://planning.dc.gov,48.1,2449.251379,317191.812579
71,72,0,46,http://planning.dc.gov,46,2890.671439,437178.480213
72,73,0,55.1,http://planning.dc.gov,55.1,3059.627066,338487.992836
73,74,0,53.1,http://planning.dc.gov,53.1,2338.927047,286545.614758
74,75,0,52.1,http://planning.dc.gov,52.1,2669.500359,339590.945708
